date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2004-05-26,37.9,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2004-03-30,30.9,ppth      ,27.5278333,-80.327666,21FLSEAS-70SEAS123
2004-03-30,30.9,ppth      ,27.5278333,-80.327666,21FLSEAS-70SEAS123
2004-05-26,38.5,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
2004-05-26,38.3,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2006-03-27,33.3,ppth      ,27.5278333,-80.327666,21FLSEAS-70SEAS123
2006-03-27,33.3,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2006-10-05,34.1,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2006-10-05,34.1,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2006-03-27,32.6,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2006-03-27,33.6,ppth      ,27.5275,-80.346833,21FLSEAS-70SEAS122
2006-10-05,34,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS030
2004-08-12,32,ppth      ,27.5098333,-80.342,21FLSEAS-70SEAS091
2004-08-12,31,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2004-08-12,30.4,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2006-02-10,31,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-09-03,35.4,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-04-24,32.3,ppth      ,27.5468333,-80.352,21FLSEAS-70SEAS161
2012-08-14,33.13,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2006-04-28,34.6,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-07-25,33.7,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2012-05-01,34.57,ppth,27.4729167,-80.3384167,21FLWPB_WQX-27020557
2006-09-06,32.8,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-03-03,33.6,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-03-11,33.8,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-05-07,37.2,ppth      ,27.42,-80.31,21FLMRC-IR3731
2004-10-22,30.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-11-01,34.8,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-03-29,35,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-04-23,36.4,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-01-08,36,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-04-16,35.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-04-02,36.4,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-11-15,34,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-11-22,34.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-12-31,33.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-07-23,36,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-03-15,33.2,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-03-22,34,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-10-04,30.6,ppth      ,27.49,-80.34,21FLMRC-IR3660
2004-08-12,31.8,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2004-08-12,33,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2004-08-12,32.1,ppth      ,27.5093333,-80.3245,21FLSEAS-70SEAS307
2004-03-30,31,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2006-10-11,35,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-08-16,35,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-06-04,37.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-12-10,35.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2004-03-30,30.7,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
2006-04-24,33.2,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2006-05-31,36.4,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-11-19,37,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-12-31,37,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-05-21,36.8,ppth      ,27.47,-80.29,21FLMRC-IR3710
2012-03-19,33.21,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2012-03-19,33.34,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2006-02-27,33.5,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS030
2006-02-27,33.8,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2004-05-26,38,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2004-05-26,38.1,ppth      ,27.5146666,-80.335333,21FLSEAS-70SEAS100
